Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
D05,DBS,0.0128,57.62,+0.730,100,0,6753400.0,388523111.0,15.083,15.083,0.0495,2.374,56.93,56.89,57.78,56.93,57.62,57.63,1200,5400,0.33%,0.00%,0.0149,0.91,-0.6364,Banks,163520228306.16,117006134474.68,2837907468.0,2030651414.0,-0.0031,-0.0242,-0.0088,0.0736,0.1607,0.31120000000000003,0.022400000000000003,,,,,,,0,0,0.8900000000000006,57.443333333333335,1,0,0,,22.83112004275207,Liquid,Flat,4210943.52941171,,0.7,,,,0.7,Imminent,,,,1.102,1.102,Strong_Base,0.020599999999999986
O39,OCBC Bank,0.0227,21.59,+0.480,35,0,6966900.0,150567095.0,13.302,12.928,0.038,1.616,21.41,21.11,21.75,21.33,21.59,21.6,100,6100,0.22%,0.00%,0.0199,1.35,-0.9677,Banks,96956300796.18,69747424902.89,4490796702.0,3230543071.0,0.0127,0.0146,0.060899999999999996,0.1948,0.289,0.2922,0.0926,,,,,,,0,0,0.6400000000000006,21.55666666666667,1,0,0,,21.33295978091545,Liquid,Up,1658785.7142857313,,0.7,,,,0.7,Imminent,,,,1.0815,1.0815,Strong_Base,0.020599999999999986
G13,Genting Sing,0.039,0.8,+0.030,27,4,121451000.0,96028400.0,21.052,16.666,0.05,1.166,0.775,0.77,0.8,0.775,0.795,0.8,8198700,10388800,2.13%,0.00%,0.0325,3.05,-0.11779999999999999,Travel & Leisure,9666332379.20,4553787792.00,12082915474.0,5692234740.0,0.0667,0.08109999999999999,0.0959,0.08839999999999999,0.10339999999999999,0.1261,0.10339999999999999,,,,,,,,0,0.030000000000000027,0.7916666666666666,1,1,0,,19.575565980420055,Liquid,Up,121451000.0,,,,,,,,,,,1.162,1.162,Strong_Base,0.012241666666666658
C6L,SIA,-0.0029,6.98,-0.020,25,-1,7222200.0,50196343.0,9.817,8.182,0.057300000000000004,1.404,7.0,7.0,7.0,6.91,6.96,6.98,1000,358600,0.47%,0.00%,0.0129,0.82,-0.9944,Transportation,21810732447.62,10829807552.80,3124746769.0,1551548360.0,0.0265,0.07719999999999999,0.0906,0.0907,0.0725,0.1286,0.0906,,,,,,,1,0,0.08999999999999986,6.963333333333334,1,0,0,,20.486991444787183,Liquid,Flat,4012333.333333397,,0.4,,,,0.4,Imminent,,,,1.0523,1.0523,Strong_Base,0.01032499999999999
BS6,YZJ Shipbldg SGD,0.049,3.64,+0.170,21,3,34646900.0,124246980.0,10.429,11.592,0.032400000000000005,2.823,3.51,3.47,3.66,3.49,3.63,3.64,745900,175300,1.37%,0.00%,0.049,1.51,0.6194,Aerospace & Defense,14325543960.00,9195888720.20,3935589000.0,2526343055.0,0.09970000000000001,0.0931,0.046,0.0866,0.2466,0.1941,0.046,,,,,,,,1,0.18999999999999995,3.596666666666667,1,0,0,,20.05835886122282,Liquid,Up,26494688.235294107,,,,,0.9,0.9,Momentum,,,,,,,0.020980000000000002
BN4,Keppel,0.0,12.86,0.000,19,-2,6570000.0,84047845.0,29.837,29.837,0.0264,2.132,12.89,12.86,12.94,12.7,12.85,12.86,100,9600,0.47%,0.00%,0.0187,1.01,-0.9793999999999999,Conglomerates,23168702375.22,17922387893.72,1801609827.0,1393653802.0,0.0288,0.1809,0.1918,0.3029,0.5165,0.9786,0.2425,,,,,,,1,0,0.2400000000000002,12.833333333333334,1,0,0,,inf,Liquid,Flat,2190000.0,,0.4,,,,0.4,Imminent,,,,1.2511,1.2511,Strong_Base,0.016899999999999984
OV8,Sheng Siong,0.0037,2.68,+0.010,18,-2,5776600.0,15488233.0,27.916,29.130,0.0239,7.262,2.67,2.67,2.7,2.65,2.68,2.69,383500,153400,0.85%,0.00%,0.0187,0.67,0.4286,Retail - Defensive,4029479160.00,1818370461.88,1503537000.0,678496441.0,-0.0596,-0.0255,-0.0183,0.0037,0.3267,0.6898000000000001,0.019,,,,,,,0,1,0.050000000000000266,2.6766666666666663,1,0,0,,19.23464980219353,Liquid,Flat,1155320.0000000205,,,,,,,,,,,,,,0.027360000000000002
Z74,Singtel,0.0289,4.98,+0.140,17,3,25935600.0,129119117.0,13.459,20.836,0.024700000000000003,3.031,4.99,4.84,5.01,4.93,4.97,4.98,116600,676400,0.33%,0.00%,0.0165,0.97,-0.7059000000000001,Telecommunication Services,82141776133.86,39782955165.72,16494332557.0,7988545214.0,0.0332,0.024700000000000003,0.0897,0.0506,0.1753,0.5839,0.09449999999999999,,,,,,,1,0,0.16999999999999993,4.973333333333334,1,0,0,,20.457054809502882,Liquid,Up,6483900.000000432,,0.4,,,,0.4,Imminent,,,,,,,0.007371428571428571
U11,UOB,0.0069999999999999,38.66,+0.270,16,-3,3342600.0,128969276.0,11.045,10.920,0.0466,1.274,38.41,38.39,38.75,38.39,38.59,38.66,2600,41300,0.29%,0.00%,0.009399999999999999,0.9,-0.8815999999999999,Banks,64182519482.78,44604009755.34,1660178983.0,1153750899.0,-0.0067,0.006,0.052300000000000006,0.1421,0.09519999999999999,0.0739,0.1027,,,,,,,0,0,0.35999999999999943,38.6,1,0,0,,21.11520361016991,Liquid,Flat,1671299.9999999339,,0.7,,,,0.7,Imminent,,,,1.0619,1.0619,Strong_Base,0.020599999999999986
S68,SGX,0.0078,18.12,+0.140,13,4,2747600.0,49827332.0,29.9,30.049,0.0217,8.487,18.18,17.98,18.21,18.08,18.12,18.14,9600,5400,0.26%,0.00%,0.0072,0.59,0.28,Capital Markets,19400739303.24,19221763225.20,1070680977.0,1060803710.0,0.003,0.0125,0.048,0.09,0.12369999999999999,0.4506,0.0746,,,,,,,0,1,0.23000000000000043,18.136666666666667,0,0,0,,20.460725116465245,Liquid,Flat,-1056769.2307691497,,,,,,,,,,,,,,-0.0014000000000000002
