Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
SBFM,Sunshine Biopharma,0.0387,1.61,+0.060,0,-11,103758.0,168404.0,,Loss,0.0,0.323,1.55,1.55,1.7,1.511,1.55,1.66,300,400,2.28%,1.58%,0.1217,0.98,-0.1429,Drug Manufacturers - Specialty & Generic,7335071.45,7331799.93,4555945.0,4553913.0,0.0255,0.1338,0.0733,-0.278,-0.425,-0.7561,-0.4633,1.559,+0.59%,+0.009,1.660,+3.11%,+0.050,,0,0.18900000000000006,1.607,1,0,0,,13.013824266447786,Low,Up,4940.857142857329,,,,,,,,,,,,,,0.04692173913043479
AFL,Aflac Inc,0.0053,102.72,+0.540,0,-128,2160874.0,222123513.0,15.975,10.666,0.0202,2.108,102.77,102.18,103.28,102.33,100.61,103.8,100,100,0.40%,0.07%,0.009300000000000001,0.96,0.0,Insurance - Life,55535057276.16,55044866856.00,540645028.0,535872925.0,0.002,-0.0104,-0.0331,-0.049800000000000004,0.0258,0.20440000000000003,0.0040999999999999995,102.830,+0.64%,+0.650,102.720,0.00%,0.000,0,0,1.0999999999999943,102.77666666666669,0,0,0,,20.46901167136641,Liquid,Flat,-386682.7157894764,,0.7,,,,0.7,Imminent,,,,,,,0.01002666666666666
LIDR,AEye,0.0579999999999999,0.8227,+0.0451,0,3,258719.0,212561.0,,Loss,0.0,0.948,0.7855,0.7776,0.837,0.7855,0.8,0.831,2400,3000,1.45%,-1.58%,0.0662,0.56,-0.11109999999999999,Software - Infrastructure,16131929.40,14709253.22,19608520.0,17879243.0,0.0345,0.15869999999999998,0.1646,0.1918,-0.17679999999999998,-0.6376,-0.3522,0.7999,+2.87%,+0.0223,0.8000,-2.76%,-0.0227,,0,0.05940000000000001,0.8150666666666666,1,0,0,,13.30327517231645,Low,Bull,115042.04077669921,,,,,,,,,,,,,,0.024128666666666663
LGVN,Longeveron,-0.0077,1.29,-0.010,0,3,102379.0,132775.0,,Loss,0.0,1.128,1.36,1.3,1.36,1.242,1.26,1.31,500,200,0.84%,0.77%,0.0908,0.56,0.4286,Biotechnology,19362004.74,15648793.92,15009306.0,12130848.0,0.015700000000000002,0.032,-0.0915,-0.267,-0.1938,-0.5956,-0.25429999999999997,1.350,+3.85%,+0.050,1.260,-2.33%,-0.030,,0,0.1180000000000001,1.2973333333333334,0,0,0,,13.76157651327073,Low,Flat,-19087.610169491527,,,,,,,,,,,,,,0.00600202360876897
CADL,Candel Therapeutics,0.0058,5.16,+0.030,0,-21,731251.0,3800064.0,,Loss,0.0,3.463,5.18,5.13,5.343,5.08,5.08,5.31,500,2000,1.74%,-0.77%,0.0513,1.06,-0.6,Biotechnology,258529823.64,216707925.60,50102679.0,41997660.0,-0.1195,-0.07690000000000001,-0.0355,-0.37450000000000006,-0.4819,-0.2922,-0.40549999999999997,5.400,+5.26%,+0.270,5.281,+2.34%,+0.121,-1,0,0.2629999999999999,5.194333333333334,0,0,0,,16.736713808635667,Norm,Flat,-286383.4714828892,,1.0,,,,1.0,Imminent,,,,,,,0.00600202360876897
OS,OneStream,0.0265,28.24,+0.730,0,-39,931547.0,26302693.0,,Loss,0.0,12.052,27.9,27.51,28.475,27.65,27.0,29.3,100,100,1.38%,-0.18%,0.03,0.76,0.0,Software - Infrastructure,4977584969.84,1905145236.00,176260091.0,67462650.0,-0.0235,0.0064,-0.0011,0.2738,-0.0466,0.41200000000000003,-0.0098,28.350,+3.05%,+0.840,28.240,0.00%,0.000,,0,0.9649999999999999,28.121666666666666,1,0,0,,17.4858040903837,Norm,Up,400847.49696969206,,,,,,,,,,,,,,0.024128666666666663
NVST,Envista Holdings,0.0287,18.98,+0.530,0,-116,1787971.0,33841138.0,,Loss,0.0,1.059,18.61,18.45,19.065,18.39,18.58,19.16,100,100,1.06%,0.29%,0.0366,1.03,0.0,Medical Instruments & Supplies,3216863506.74,3205773208.04,169487013.0,168902698.0,-0.0021,0.048600000000000004,0.038900000000000004,0.1244,0.0527,0.0741,-0.0161,0.000,0.00%,0.000,18.980,0.00%,0.000,,0,0.6750000000000007,18.811666666666667,1,0,0,,18.1062281348725,Norm,Up,1337667.1925925885,,,,,,,,,,,0.9,0.9,Strong_Base,0.008078723404255314
CBOE,Cboe Global Markets,-0.0058,224.49,-1.320,0,71,534504.0,120168249.0,29.46,31.135,0.0109,5.28,225.77,225.81,226.3,223.61,222.64,224.5,100,100,0.51%,-0.11%,0.011899999999999999,0.82,0.0,Financial Data & Stock Exchanges,23507099043.54,23366920303.86,104713346.0,104088914.0,0.0225,-0.0286,0.018799999999999997,0.026000000000000002,0.16510000000000002,0.3553,0.15560000000000002,225.810,0.00%,0.000,224.490,0.00%,0.000,0,0,2.6899999999999977,224.80000000000004,0,0,0,,20.470838954677696,Liquid,Flat,-184791.34572490858,,0.7,,,,0.7,Imminent,,,,,,,0.015142857142857128
TRP,TC Energy,-0.0073,49.21,-0.360,0,-39,4236238.0,208961315.0,15.863,15.076,0.0507,2.756,49.7,49.57,49.94,49.08,48.5,53.7,100,100,0.41%,0.01%,0.0174,1.35,0.0,Oil & Gas Midstream,51159965245.06,51097742251.08,1039625386.0,1038360948.0,-0.0049,-0.0426,-0.0126,0.0144,0.1277,0.5489,0.0717,49.050,-1.05%,-0.520,49.210,0.00%,0.000,0,0,0.8599999999999994,49.41,0,0,0,,19.748786598369627,Norm,Flat,-2955514.883720904,,1.0,,,,1.0,Imminent,,,,,,,-0.013563999999999994
CCO,Clear Channel Outdoor,0.0455,1.15,+0.050,0,73,1591947.0,1812224.0,,Loss,0.0,,1.11,1.1,1.15,1.11,1.1,1.14,100,100,0.47%,1.31%,0.0364,0.79,0.0,Advertising Agencies,571222714.60,389264958.20,496715404.0,338491268.0,0.0088,0.09519999999999999,-0.0254,0.0268,-0.17859999999999998,-0.1606,-0.1606,1.130,+2.73%,+0.030,1.150,0.00%,0.000,,0,0.04999999999999982,1.1366666666666665,1,0,0,,15.298179129933873,Norm,Up,1591947.0,,,,,,,,,,,,,,0.015078378378378374
