Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
08277,STEEDORIENTAL,0.25,0.165,+0.033,0,0,2800000.0,583634.0,1.195,1.195,0.0,9.166,0.133,0.132,0.275,0.133,0.162,0.171,20000,2000,1.07%,-1.23%,1.0758,137.25,0.9487000000000001,Forestry & Timber,43308099.95,43308099.95,262473333.0,262473333.0,0.32,0.12240000000000001,0.701,0.8332999999999999,0.6336999999999999,0.4865,-0.2143,,,,,,,-1,0,0.14300000000000002,0.19100000000000003,0,1,0,,13.389613664595393,Low,-1538028.1690140846,,0.7,,,,0.7,Imminent,,,,,,,0.052625
00400,INGDAN,0.0327999999999999,2.52,+0.080,0,-461,8389000.0,21043480.0,18.0,20.160,0.0,0.887,2.46,2.44,2.59,2.4,2.5,2.52,156000,650000,0.51%,0.00%,0.0779,1.58,-0.7333,Semiconductors,4143542084.64,4143542084.64,1644262732.0,1644262732.0,0.008,0.037000000000000005,0.1351,0.8667,0.6470999999999999,1.3333000000000002,1.0826,,,,,,,,0,0.18999999999999995,2.5033333333333334,1,0,0,,18.22744497539269,Norm,2207631.5789473807,,,,,,,,,,,,,,-0.00869000000000001
02111,BEST PACIFIC,-0.023,3.4,-0.080,0,44,346000.0,1192620.0,5.975,5.811,0.0859,0.993,3.49,3.48,3.49,3.39,3.4,3.44,10000,18000,0.03%,-0.29%,0.0287,0.32,0.5,Textiles & Fabrics,3535347200.00,3535347200.00,1039808000.0,1039808000.0,-0.0173,-0.023,0.12210000000000001,0.45299999999999996,0.1292,0.5614,0.1761,,,,,,,0,0,0.10000000000000009,3.426666666666667,0,0,0,,15.72091235887453,Low,-276800.0000000016,,0.7,,,,0.7,Imminent,,,,,,,0.00028749999999999956
01771,SUNFONDA GP,-0.0179,0.275,-0.005,0,0,70000.0,19250.0,,Loss,0.0,0.068,0.275,0.28,0.275,0.275,0.275,0.28,110000,41000,0.01%,0.00%,0.0,1.03,0.5748,Auto Retailers,165000000.00,165000000.00,600000000.0,600000000.0,-0.0179,-0.0351,0.1506,-0.11289999999999999,-0.0179,-0.48109999999999997,0.057699999999999994,,,,,,,,0,0.0050000000000000044,0.275,0,0,,,12.057412184189483,Low,,,,,,,,,,,,,,,-0.0186
01862,JINGRUI HLDGS,0.0833,0.013,+0.001,0,0,70107000.0,935806.0,,Loss,0.0,,0.012,0.012,0.016,0.012,0.012,0.013,3264000,3378000,4.56%,0.00%,0.3333,5.61,-0.2087,Real Estate Developers,20004571.77,20004571.77,1538813213.0,1538813213.0,0.0833,-0.1875,-0.1875,0.3,-0.381,-0.8267,-0.5185,,,,,,,-1,0,0.004,0.013666666666666667,0,1,0,,14.100734142857664,Low,-35053500.00000003,,0.7,,,,0.7,Imminent,,,,,,,0.03300428571428571
02178,PETRO-KING,0.0,0.069,0.000,0,44,1615000.0,112984.0,,Loss,0.0,0.726,0.069,0.069,0.073,0.068,0.069,0.071,150000,30000,0.09%,0.00%,0.0725,2.2,-0.0151,Oil & Gas Services,119140553.06,119140553.06,1726674682.0,1726674682.0,0.0,-0.0143,-0.1375,-0.08,0.09519999999999999,-0.0548,0.18969999999999998,,,,,,,-1,0,0.0049999999999999906,0.07,0,1,1,,inf,Liquid,-968999.9999999981,,0.7,,,,0.7,Imminent,,,,,,,0.0038307692307692396
00884,CIFI HOLD GP,0.0605999999999999,0.245,+0.014,0,-402,74781619.0,18139954.0,,Loss,0.0,0.367,0.231,0.231,0.25,0.23,0.245,0.246,4000,282000,0.71%,0.82%,0.0866,4.4,-0.6893,Real Estate Developers,2574754587.26,2574754587.26,10509202397.0,10509202397.0,0.10859999999999999,0.008199999999999999,0.0124,0.008199999999999999,-0.125,-0.0161,-0.1404,,,,,,,,0,0.01999999999999999,0.24166666666666667,1,1,0,,18.12392239142775,Norm,37390809.49999995,,,,,0.9,0.9,Momentum,,,,,,,0.03300428571428571
02098,ZALL SMARTCOM,-0.0167,0.118,-0.002,0,-287,4084000.0,481342.0,7.375,10.727,0.0,0.095,0.119,0.12,0.12,0.116,0.118,0.119,376000,866000,0.03%,0.00%,0.0333,0.33,0.5839,Procurement & Supply Chain Management,1463141684.40,1463141684.40,12399505800.0,12399505800.0,-0.1061,-0.1387,-0.29760000000000003,-0.41,-0.6313,-0.6973999999999999,-0.6194,,,,,,,,1,0.00399999999999999,0.118,0,0,0,,15.214940773990364,Low,-1.4169221351778597e-08,,,,,,,,,,,,,,-0.006470000000000001
08132,CENTURY EN INTL,-0.0125,0.079,-0.001,0,263,1970000.0,151500.0,,Loss,0.0,,0.078,0.08,0.079,0.073,0.074,0.08,730000,100000,0.07%,0.00%,0.075,1.02,0.0471,Oil & Gas Producers,212862770.79,212862770.79,2694465453.0,2694465453.0,0.1286,0.6122,0.46299999999999997,0.2742,0.23440000000000003,-0.024700000000000003,0.1286,,,,,,,1,0,0.007000000000000006,0.077,1,0,0,,13.354995722015923,Low,1970000.0,,0.4,,,,0.4,Imminent,,,,,,,-0.0034277777777777718
01181,TANG PALACE,-0.0266,0.183,-0.005,0,0,1639000.0,307187.0,,Loss,0.0546,0.958,0.188,0.188,0.188,0.183,0.183,0.188,24000,402000,0.15%,0.00%,0.026600000000000002,2.01,-0.0313,Catering,196913032.50,196913032.50,1076027500.0,1076027500.0,-0.0317,-0.061500000000000006,-0.0054,0.0958,-0.0161,-0.2531,-0.085,,,,,,,,0,0.0050000000000000044,0.18466666666666667,0,1,0,,14.113474595568837,Low,-1639000.0,,,,,,,,,,,,,,0.005925
