Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
OPEN,Opendoor Technologies,-0.1027999999999999,2.88,-0.330,88,0,1079876842.0,3492953968.0,,Loss,0.0,3.254,3.89,3.21,3.99,2.67,2.75,2.76,200,600,164.86%,0.75%,0.41119999999999995,1.51,-0.5,Real Estate Services,2099223040.32,1886495063.04,728896889.0,655033008.0,1.7691999999999999,2.9355,4.434,2.7089999999999996,0.92,0.1429,0.8,3.940,+22.74%,+0.730,2.760,-4.17%,-0.120,,0,1.3200000000000003,3.1799999999999997,0,0,0,,22.513709510981922,Liquid,-736279665.0000002,,,,,,,,,,,,,,0.004765853658536581
NVDA,NVIDIA,-0.0254,167.03,-4.350,81,1,193114327.0,32338153752.0,53.88,56.812,0.0002,48.611,171.34,171.38,171.39,164.58,167.72,167.78,200,400,0.82%,-0.09%,0.0397,1.12,-0.3333,Semiconductors,4075532000000.00,3925510434565.63,24400000000.0,23501828621.0,-0.0215,0.043899999999999995,0.1586,0.5695,0.29510000000000003,0.3525,0.244,171.250,-0.08%,-0.130,167.770,+0.44%,+0.740,,0,6.809999999999974,167.66666666666666,0,0,0,,26.06133492801351,Liquid,-54162755.443465605,,,,,,,,,,,,,,-0.013512121212121204
CRCL,Circle,-0.0823,198.31,-17.790,46,2,18485876.0,3685941279.0,249.76,271.657,0.0,59.232,207.55,216.1,211.99,192.9,196.03,196.47,100,400,20.39%,-0.02%,0.0883,0.61,-0.6,Capital Markets,44131930205.65,17979881254.30,222540115.0,90665530.0,0.015300000000000001,-0.0317,-0.2473,5.3971,5.3971,5.3971,5.3971,207.600,-3.93%,-8.500,196.000,-1.16%,-2.310,,0,23.19999999999999,201.0666666666667,0,0,1,,22.866445506550093,Liquid,-8008286.774227353,,,,,,,,,,,,,,0.008034210526315784
TSLA,Tesla,0.011,332.11,+3.620,44,-2,77370371.0,25569704937.0,189.777,162.799,0.0,14.329,329.74,328.49,335.41,321.55,333.3,333.38,400,100,2.79%,-0.17%,0.042199999999999994,0.92,0.6,Auto Manufacturers,1069711767235.21,922484562369.94,3220956211.0,2777647654.0,0.06860000000000001,0.1152,-0.0475,0.2798,-0.16570000000000001,0.32049999999999995,-0.1776,329.360,+0.26%,+0.870,333.300,+0.36%,+1.190,,1,13.860000000000014,329.69,1,0,0,,26.393010342278842,Liquid,40527337.1904761,,,,,,,,,,,,,,0.016841176470588234
OSCR,Oscar Health,0.0793,14.7,+1.080,32,9,82717535.0,1154008988.0,36.75,147.000,0.0,2.808,13.0,13.62,15.045,12.86,14.5,14.59,2100,1500,40.25%,-0.84%,0.1604,1.81,0.16670000000000001,Healthcare Plans,3743751900.00,3021348109.50,254677000.0,205533885.0,-0.0147,-0.1118,-0.2801,0.22190000000000001,-0.0971,-0.0417,0.09380000000000001,12.980,-4.70%,-0.640,14.590,-0.75%,-0.110,,1,2.1850000000000005,14.201666666666668,1,0,0,,21.432297227557132,Liquid,56596208.15789469,,,,1.6,,1.6,Gap_Fill,,,,,,,0.019166666666666658
SBET,SharpLink Gaming,0.0853999999999999,27.4,+2.155,26,-2,58507768.0,1602951412.0,,0.997,0.0,1304.761,26.36,25.245,29.79,25.0,28.23,28.24,300,2700,58.73%,0.22%,0.18969999999999998,0.69,-0.8,Gambling,2738683210.80,2729560106.80,99951942.0,99618982.0,-0.0542,0.682,2.0444,9.364700000000001,4.8248,2.8056,2.5444,26.350,+4.38%,+1.105,28.240,+3.06%,+0.840,,0,4.789999999999999,27.396666666666665,1,0,1,,22.929279695479764,Liquid,122145.65344465214,,,,,,,,,,,,,,0.00917333333333332
AMD,Advanced Micro Devices,-0.0144999999999999,154.72,-2.280,25,1,49028017.0,7508809656.0,112.934,154.720,0.0,4.334,156.2,157.0,156.229,149.34,154.99,155.08,100,100,3.06%,-0.12%,0.043899999999999995,0.83,0.0,Semiconductors,250863657050.40,248078866004.64,1621404195.0,1603405287.0,-0.005699999999999999,0.1226,0.19399999999999998,0.6378,0.3552,-0.0074,0.2809,156.290,-0.45%,-0.710,155.010,+0.19%,+0.290,1,0,7.659999999999997,153.42966666666666,1,0,0,,24.825168164941903,Liquid,27549347.337349225,,,,,,,,,,,,,,-0.013512121212121204
LMT,Lockheed Martin,-0.1081,410.74,-49.790,22,142,8886507.0,3747860439.0,23.049,18.410,0.0318,17.977,422.75,460.53,437.45,410.11,413.8,415.1,100,100,5.17%,0.05%,0.0594,6.96,0.0,Aerospace & Defense,95893437101.44,70605402592.56,233465056.0,171898044.0,-0.1263,-0.11289999999999999,-0.1306,-0.11410000000000001,-0.08929999999999999,-0.1117,-0.1426,422.660,-8.22%,-37.870,414.700,+0.96%,+3.960,,0,50.41999999999996,419.43333333333334,0,1,1,,22.61652975510012,Liquid,-8476960.59107535,,,,,,,,,,,,,,-0.014179487179487173
KSS,Kohl's Corp,0.3762,14.34,+3.920,20,413,209344034.0,3140113879.0,13.155,14.632,0.1133,0.425,19.75,10.42,21.39,12.374,14.92,14.97,100,9600,189.01%,-0.35%,0.8652,35.64,-0.9793999999999999,Department Stores,1606677676.86,1588271096.64,112041679.0,110758096.0,0.5468999999999999,0.5793,0.7704000000000001,1.0673000000000001,0.0877,-0.24059999999999998,0.050499999999999996,19.440,+86.56%,+9.020,14.940,+4.18%,+0.600,,0,10.97,16.034666666666666,0,1,0,,21.89327126760634,Liquid,-118046258.74622895,,,,,,,,,,,,,,0.121225
PLTR,Palantir,-0.0179,149.07,-2.720,19,1,49880762.0,7400241001.0,648.13,784.578,0.0,64.869,150.85,151.79,151.79,145.062,149.5,149.55,2900,100,2.30%,-0.09%,0.0443,0.93,0.9333,Software - Infrastructure,351792141020.79,322799645815.41,2359912397.0,2165423263.0,0.0033,0.067,0.0654,0.3831,0.858,4.2379,0.971,150.960,-0.55%,-0.830,149.501,+0.29%,+0.431,,1,6.72799999999998,148.64066666666665,1,0,0,,24.960837172206013,Liquid,9549111.39357897,,,,,,,,,,,,,,0.005767721518987342
