Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
5183,PCHEM,0.1236999999999999,4.18,+0.460,88,16,19993200.0,80465068.0,,28.435,0.0311,0.883,3.72,3.72,4.2,3.69,4.18,4.19,884100,9300,0.72%,0.00%,0.1371,1.86,0.3358,Industrial Products & Services,33440000000.00,11668241893.22,8000000000.0,2791445429.0,0.1611,0.0885,0.2404,0.22940000000000002,0.1267,-0.1912,-0.18489999999999998,,,,,,,,1,0.5100000000000002,4.023333333333333,1,0,0,,19.340176155248177,Liquid,18425105.882352903,,,,,0.9,0.9,Momentum,,,,,,,-0.002190438247011952
5326,99SMART,0.0286,2.52,+0.070,74,-1,11176100.0,27963489.0,39.375,42.000,0.0091,12.537,2.44,2.45,2.52,2.44,2.51,2.52,18000,214900,0.80%,0.00%,0.0327,1.08,-0.213,Consumer Products & Services,21168000000.00,3505748400.00,8400000000.0,1391170000.0,0.045599999999999995,0.0633,0.07690000000000001,0.1845,0.19010000000000002,0.5435,0.0311,,,,,,,,0,0.08000000000000007,2.4933333333333336,1,0,0,,18.836924480444576,Liquid,11176100.0,,,,,,,,,,,,,,-0.004928125000000001
0138,ZETRIX,0.0116,0.875,+0.010,72,-1,67952600.0,58131454.5,8.928,9.210,0.0217,2.103,0.87,0.865,0.875,0.845,0.87,0.875,32000,1331600,1.22%,0.00%,0.0347,2.2,0.4618,Technology,6730275259.75,4877540287.38,7691743154.0,5574331757.0,-0.0169,0.005699999999999999,-0.0741,-0.0223,-0.13369999999999999,-0.0121,-0.0885,,,,,,,1,1,0.030000000000000027,0.8649999999999999,1,1,0,,19.706387734790113,Liquid,67952600.0,,,0.62,,,0.62,Failed_Breakdown,0.7603,0.7603,Buildup,,,,0.013705825242718449
1155,MAYBANK,0.0,9.8,0.000,71,-1,15305500.0,149977400.0,11.611,11.722,0.0622,1.281,9.81,9.8,9.85,9.78,9.79,9.8,40700,497800,0.13%,0.00%,0.0070999999999999995,1.37,-0.034300000000000004,Financial Services,118394813251.40,115150800415.00,12081103393.0,11750081675.0,-0.0060999999999999995,0.0177,0.0219,-0.0121,-0.035699999999999996,0.019799999999999998,-0.0131,,,,,,,0,0,0.07000000000000028,9.81,0,0,0,,inf,Liquid,-6559499.999999445,,0.7,,,,0.7,Imminent,,,,,,,0.00040882352941176773
4197,SIME,-0.0056999999999999,1.75,-0.010,60,0,39021900.0,67783046.0,8.62,3.608,0.07429999999999999,0.604,1.77,1.76,1.77,1.7,1.75,1.76,1151400,321100,1.04%,0.00%,0.0398,2.25,0.1303,Consumer Products & Services,11927295759.75,6566431663.75,6815597577.0,3752246665.0,0.0479,0.0736,0.06709999999999999,-0.1822,-0.2177,-0.2929,-0.24420000000000003,,,,,,,1,1,0.07000000000000006,1.74,1,1,0,,20.150792878588685,Liquid,16723671.428571427,,,,,,,,0.7609,0.7609,Buildup,,,,-0.004928125000000001
0338,KOPI,0.0098999999999999,1.02,+0.010,52,0,11811000.0,11901295.0,46.363,46.363,0.0,7.846,1.0,1.01,1.04,0.99,1.01,1.02,624000,356500,2.29%,0.00%,0.0495,0.79,-0.027000000000000003,Consumer Products & Services,2040000000.00,527255644.98,2000000000.0,516917299.0,0.0909,0.2364,0.2,0.3784,0.2593,1.3182,1.3182,,,,,,,,0,0.050000000000000044,1.0166666666666668,1,0,0,,18.15983118812421,Liquid,2362200.0,,,,,,,,,,,,,,-0.004928125000000001
6742,YTLPOWR,-0.0185,4.24,-0.080,52,3,14100200.0,59890615.0,12.619,10.241,0.0165,1.783,4.32,4.32,4.33,4.21,4.23,4.24,37800,39100,0.49%,0.00%,0.0278,0.79,0.39880000000000004,Utilities,36290226534.08,12136721694.88,8559015692.0,2862434362.0,-0.011699999999999999,0.0095,0.011899999999999999,0.3232,0.35240000000000005,-0.0134,-0.0301,,,,,,,0,1,0.1200000000000001,4.26,0,0,0,,19.913451672709733,Liquid,-7050099.999999948,,,,,,,,,,,,,,-0.009623076923076916
5263,SUNCON,0.0104,5.82,+0.060,51,-4,5112400.0,29736349.0,32.513,40.137,0.0146,7.929,5.78,5.76,5.9,5.75,5.82,5.83,2100,43200,1.14%,0.00%,0.026000000000000002,1.02,-0.5492,Construction,7634552674.20,2600200538.64,1311778810.0,446769852.0,0.0659,0.08789999999999999,0.08990000000000001,0.08109999999999999,0.38299999999999995,0.40659999999999996,0.2755,,,,,,,0,0,0.15000000000000036,5.823333333333333,0,0,0,,19.693769508099717,Liquid,-340826.6666666586,,0.7,,,,0.7,Imminent,,,,,,,-0.009513846153846145
5398,GAMUDA,-0.0139999999999999,5.62,-0.080,45,2,27187200.0,152840167.0,34.691,34.691,0.0178,2.722,5.7,5.7,5.72,5.59,5.62,5.63,672700,2361500,0.52%,0.00%,0.022799999999999997,1.36,-0.38159999999999994,Construction,32574587193.04,29500791625.98,5796189892.0,5249251179.0,0.0018,0.0292,0.0843,0.2408,0.26289999999999997,0.5313,0.20989999999999998,,,,,,,0,0,0.1299999999999999,5.6433333333333335,0,0,0,,20.970996191342014,Liquid,-14639261.538461423,,0.7,,,,0.7,Imminent,,,,,,,-0.009513846153846145
1023,CIMB,-0.0040999999999999,7.36,-0.030,39,-3,18028500.0,132693519.0,10.193,10.222,0.054299999999999994,1.148,7.39,7.39,7.39,7.34,7.36,7.38,138900,79700,0.23%,0.00%,0.0068000000000000005,0.86,0.21660000000000001,Financial Services,79168029755.52,58686279964.48,10756525782.0,7973679343.0,0.0236,0.0808,0.10339999999999999,0.0575,-0.0968,0.0394,-0.077,,,,,,,0,1,0.04999999999999982,7.363333333333333,0,0,0,,21.20307042560172,Liquid,-3605699.999999616,,,,,,,,,,,,,,0.00040882352941176773
