Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
5216,NEXG,0.0713999999999999,0.3,+0.020,79,0,90328800.0,25199115.5,9.375,10.714,0.026699999999999998,2.027,0.27,0.28,0.305,0.26,0.295,0.3,100200,105000,6.73%,0.00%,0.1607,1.87,0.3835,Technology,1046101544.70,402598809.00,3487005149.0,1341996030.0,-0.24050000000000002,-0.2683,-0.4175,-0.4393,-0.047599999999999996,-0.2593,-0.2683,,,,,,,,0,0.044999999999999984,0.28833333333333333,1,0,0,,17.719750641565152,Norm,70255733.3333333,,,,1.6,,1.6,Gap_Fill,,,,,,,-0.003705714285714284
1155,MAYBANK,-0.003,9.92,-0.030,76,0,9886600.0,98217004.0,11.643,11.866,0.061500000000000006,1.272,9.95,9.95,9.96,9.91,9.9,9.93,171400,10000,0.08%,0.00%,0.005,1.14,-0.102,Financial Services,119842591418.56,116560810216.00,12080906393.0,11750081675.0,0.0051,0.0060999999999999995,-0.003,0.0621,0.0342,0.0007000000000000001,0.03,,,,,,,0,0,0.05000000000000071,9.93,0,0,0,,21.023589130563096,Liquid,-5931960.000000141,,0.7,,,,0.7,Imminent,,,,,,,-0.0023342105263157867
0034,MMAG,-0.25,0.105,-0.035,71,1,261836000.0,27853010.0,,Loss,0.0,0.807,0.14,0.14,0.145,0.095,0.1,0.105,3148000,1699400,210.81%,0.00%,0.35710000000000003,5.88,-0.3073,Transportation & Logistics,243725711.35,13041420.53,2321197251.0,124204005.0,-0.8158,-0.8173999999999999,-0.8345999999999999,-0.8332999999999999,-0.8467,-0.6379,-0.7667,,,,,,,,0,0.04999999999999999,0.11499999999999999,0,1,0,,16.792834257160724,Norm,-157101600.00000003,,,,,,,,,,,,,,-0.00410625
6742,YTLPOWR,-0.0051,3.88,-0.020,57,-1,6239300.0,24103871.0,13.379,13.379,0.0206,1.567,3.86,3.9,3.89,3.83,3.88,3.89,500,23100,0.22%,0.00%,0.0154,0.64,0.44659999999999994,Utilities,33464634403.12,11081184222.20,8624905774.0,2855975315.0,-0.0102,0.0104,-0.0784,-0.0673,0.1033,0.3369,-0.1039,,,,,,,0,1,0.06999999999999984,3.866666666666667,1,0,0,,19.64303992575279,Liquid,4159533.3333332874,,,,,,,,,,,,,,0.001525
1295,PBBANK,0.0187999999999999,4.34,+0.080,55,6,14238500.0,61251972.0,11.635,11.793,0.0484,1.439,4.26,4.26,4.34,4.26,4.29,4.34,80300,52000,0.10%,0.00%,0.018799999999999997,1.85,0.2119,Financial Services,84242402129.90,62807559295.04,19410691735.0,14471787856.0,0.0358,0.030899999999999997,-0.0046,0.0346,0.0019,0.0339,-0.0001,,,,,,,0,0,0.08000000000000007,4.3133333333333335,1,0,0,,19.234047050601827,Liquid,14238500.0,,0.7,,,,0.7,Imminent,,,,1.0219,1.0219,Strong_Base,-0.0023342105263157867
0270,NATGATE,-0.0179,1.1,-0.020,50,2,17809700.0,19415441.0,11.34,14.864,0.0073,2.412,1.11,1.12,1.13,1.06,1.1,1.11,124100,102400,1.80%,0.00%,0.0625,2.11,0.22190000000000001,Industrial Products & Services,2505409291.00,1088709061.00,2277644810.0,989735510.0,-0.0909,-0.059800000000000006,-0.0756,-0.2238,-0.3013,-0.44780000000000003,-0.5595,,,,,,,,1,0.06999999999999984,1.0966666666666667,1,1,0,,18.365875231178247,Liquid,2544242.8571429215,,,,1.6,,1.6,Gap_Fill,0.7801,0.7801,Buildup,,,,0.0009052419354838728
0186,PTRANS,-0.0484,0.295,-0.015,48,3,69097800.0,20704401.5,4.538,4.836,0.0678,0.444,0.315,0.31,0.315,0.285,0.295,0.3,151800,2327600,8.91%,0.00%,0.0968,0.79,0.0007000000000000001,Consumer Products & Services,355252552.60,228692823.75,1204245941.0,775229911.0,-0.2285,-0.1133,-0.5533,-0.5695,-0.5756,-0.5788,-0.5982999999999999,,,,,,,,0,0.030000000000000027,0.29833333333333334,0,0,0,,17.718247808248776,Norm,-23032600.0,,,,,,,,,,,,,,0.001408205128205131
5326,99SMART,-0.0192999999999999,3.05,-0.060,47,1,10880000.0,33114246.0,47.656,50.833,0.0075,15.174,3.1,3.11,3.1,3.01,3.04,3.06,20000,55000,0.78%,0.00%,0.028900000000000002,1.2,0.2774,Consumer Products & Services,25620000000.00,4243068500.00,8400000000.0,1391170000.0,-0.019299999999999998,-0.058600000000000006,0.0739,0.2869,0.3885,0.2633,0.24789999999999998,,,,,,,0,1,0.10000000000000009,3.0533333333333332,0,0,0,,18.936482468106767,Liquid,-1208888.8888889127,0.6,,,,,0.6,Recursor,,,,,,,0.001408205128205131
5296,MRDIY,-0.0364,1.59,-0.060,46,7,14270100.0,22820780.0,24.843,26.500,0.034,7.607,1.65,1.65,1.65,1.58,1.58,1.59,84100,96000,0.42%,0.00%,0.0424,1.52,0.1155,Consumer Products & Services,15069186827.28,5397283677.24,9477475992.0,3394518036.0,-0.0245,-0.0756,-0.0592,-0.0151,-0.0472,-0.2597,-0.1125,,,,,,,,1,0.06999999999999984,1.6066666666666667,0,0,0,,18.35465074928446,Liquid,-10192928.57142856,,,,,,,,,,,,,,0.001408205128205131
7233,DUFU,0.03,2.06,+0.060,40,7,10918100.0,21966579.0,33.225,49.047,0.017,3.198,1.96,2.0,2.11,1.92,2.05,2.06,10000,8000,3.94%,0.00%,0.095,0.7,0.12369999999999999,Industrial Products & Services,1097142086.76,570367303.92,532593246.0,276877332.0,0.09570000000000001,0.1705,0.19079999999999997,0.8306999999999999,0.7104,0.212,0.1104,,,,,,,,1,0.18999999999999995,2.03,1,0,0,,18.51815745963025,Liquid,5171731.578947387,,,,,,,,,,,,,,0.0009052419354838728
