Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
D05,DBS,-0.0097,54.27,-0.530,100,0,3715800.0,201334388.0,13.784,13.774,0.044800000000000006,2.246,54.56,54.8,54.6,53.88,54.27,54.3,3200,500,0.18%,0.00%,0.0131,0.78,0.7297,Banks,154011957299.28,110206467153.36,2837883864.0,2030706968.0,0.052199999999999996,0.0781,0.0292,0.1941,0.3521,0.48469999999999996,0.299,,,,,,,0,1,0.9199999999999946,54.25,1,0,0,,21.879779173560138,Liquid,309650.0000000122,,,,,,,,,,,1.1418,1.1418,Strong_Base,-0.0013125
BS6,YZJ Shipbldg SGD,-0.0199,3.45,-0.070,35,1,28343500.0,97773278.0,9.885,10.987,0.0342,2.697,3.53,3.52,3.56,3.41,3.44,3.45,91700,449700,1.12%,0.00%,0.0426,1.17,-0.6613,Aerospace & Defense,13577782050.00,8715883539.75,3935589000.0,2526343055.0,0.0518,0.048600000000000004,0.0849,0.4557,0.6197,0.46950000000000003,0.2189,,,,,,,,0,0.1499999999999999,3.473333333333334,0,0,0,,20.218443417678344,Liquid,-13226966.666666646,,,,,0.8,0.8,Momentum,,,,,,,-0.006680000000000011
C6L,SIA,0.0015,6.66,+0.010,32,1,4059800.0,27067275.0,8.43,7.807,0.0721,1.255,6.67,6.65,6.69,6.63,6.65,6.66,197200,28000,0.28%,0.00%,0.009000000000000001,0.97,0.7513,Transportation,19812729864.24,9840829839.48,2974884364.0,1477602078.0,0.0215,0.0278,0.0168,-0.0587,0.08,0.0922,0.0817,,,,,,,0,1,0.0600000000000005,6.66,0,0,0,,20.510532361287744,Liquid,0.0,,0.55,,,,0.55,Imminent,,,,,,,0.007017391304347818
U96,Sembcorp Ind,0.011,6.43,+0.070,31,-2,4607000.0,29531089.0,11.585,11.523,0.0358,2.192,6.39,6.36,6.46,6.33,6.42,6.43,35900,2500,0.53%,0.00%,0.0204,0.79,0.8698,Conglomerates,11429118648.44,5571241993.00,1777467908.0,866445100.0,0.06280000000000001,0.0611,0.0576,-0.1539,0.056100000000000004,0.2285,0.213,,,,,,,0,1,0.1299999999999999,6.406666666666666,1,0,0,,19.70645302865048,Liquid,2480692.307692288,0.7,,,,,0.7,Recursor,,,,1.0714,1.0714,Strong_Base,0.0016249999999999997
O39,OCBC Bank,0.0006,16.92,+0.010,29,0,2531900.0,42763255.0,10.509,10.131,0.050199999999999995,1.257,16.9,16.91,16.92,16.85,16.91,16.92,49000,38200,0.08%,0.00%,0.0040999999999999995,0.49,0.12390000000000001,Banks,75983211632.16,54697511472.48,4490733548.0,3232713444.0,0.0248,0.0342,0.0042,0.0222,0.10490000000000001,0.1962,0.0758,,,,,,,1,1,0.07000000000000028,16.89666666666667,1,0,0,,21.718428724954368,Liquid,2531900.0,,,,,,,,,,,,,,-0.0013125
Z74,Singtel,-0.0024,4.19,-0.010,25,0,11815300.0,49645832.0,17.531,17.531,0.0277,2.672,4.2,4.2,4.22,4.19,4.19,4.2,467700,47900,0.15%,0.00%,0.0070999999999999995,0.47,0.8142,Telecommunication Services,69188743215.17,33594034798.57,16512826543.0,8017669403.0,0.0121,-0.016399999999999998,-0.0368,0.0611,0.146,0.3985,0.3953,,,,,,,0,1,0.02999999999999936,4.2,0,0,0,,20.637228899978343,Liquid,-11815300.0,,0.75,,,,0.75,Imminent,,,,,,,0.008311111111111099
U11,UOB,0.0003,35.5,+0.010,21,0,1795900.0,63722580.0,10.142,10.028,0.0507,1.17,35.54,35.49,35.65,35.38,35.48,35.5,700,33300,0.16%,0.00%,0.0076,0.66,-0.9588,Banks,58936353896.50,41144062604.50,1660178983.0,1158987679.0,0.0236,0.0317,0.0006,-0.0022,0.0721,0.1857,0.0418,,,,,,,0,0,0.269999999999996,35.51,0,0,0,,22.407646317245888,Liquid,-199544.44444445494,,0.35,,,,0.35,Imminent,,,,,,,-0.0013125
S63,ST Engineering,-0.0022,8.99,-0.020,19,0,3946900.0,35461084.0,36.693,40.133,0.0189,10.333,9.0,9.01,9.07,8.91,8.98,9.0,3500,10500,0.26%,0.00%,0.0178,0.75,-0.5,Aerospace & Defense,28061421267.77,13654793006.25,3121403923.0,1518886875.0,0.049,0.0527,0.1223,0.08349999999999999,0.2956,0.9759,0.9629000000000001,,,,,,,0,0,0.16000000000000014,8.99,0,0,0,,20.405445150908164,Liquid,0.0,,0.6,,,,0.6,Imminent,,,,,,,-0.006680000000000011
G13,Genting Sing,-0.0069,0.72,-0.005,17,0,66445900.0,47688132.0,18.947,15.000,0.0556,1.049,0.725,0.725,0.725,0.715,0.715,0.72,20408800,13260500,1.17%,0.00%,0.0138,1.35,0.21230000000000002,Travel & Leisure,8699699141.28,4098409012.80,12082915474.0,5692234740.0,-0.0137,-0.0336,-0.0588,0.0062,0.06309999999999999,-0.1263,-0.0064,,,,,,,0,1,0.010000000000000009,0.7200000000000001,0,0,0,,19.673524661586807,Liquid,0.0,,0.75,,,,0.75,Imminent,,,,,,,-0.000822727272727268
BN4,Keppel,-0.0118,9.23,-0.110,14,0,2861300.0,26517048.0,16.812,18.062,0.0368,1.567,9.34,9.34,9.36,9.23,9.23,9.24,2100,6700,0.21%,0.00%,0.0139,0.75,-0.5227,Conglomerates,16654755258.83,12891632340.08,1804415521.0,1396709896.0,0.0301,0.0394,0.07200000000000001,0.18170000000000003,0.5624,0.4878,0.4139,,,,,,,0,0,0.129999999999999,9.273333333333333,0,0,0,,19.741206241618386,Liquid,-2861300.0,,0.6,,,,0.6,Imminent,,,,,,,0.0016249999999999997
