Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
D05,DBS,-0.0045,55.24,-0.250,100,0,2997500.0,165308028.0,14.127,14.020,0.0478,2.277,55.19,55.49,55.33,55.0,55.23,55.24,3500,2400,0.15%,0.00%,0.006,0.87,0.1864,Banks,156764854458.24,112175718520.56,2837886576.0,2030697294.0,0.0207,0.0149,0.0287,0.1074,0.25980000000000003,0.3503,0.34049999999999997,,,,,,,0,1,0.490000000000002,55.19,1,0,0,,22.525037649587002,Liquid,Flat,1362500.0000000587,0.6,,,,,0.6,Recursor,,,,1.1419,1.1419,Strong_Base,-0.00023749999999999997
S58,SATS,0.0192,3.72,+0.070,60,2,13348300.0,49499299.0,21.754,22.962,0.0134,2.048,3.64,3.65,3.75,3.62,3.72,3.73,75700,22700,1.51%,0.00%,0.0356,2.25,0.5386,Transportation,5539454555.64,3294407607.96,1489100687.0,885593443.0,0.0877,0.0973,0.0909,0.13390000000000002,0.23190000000000002,0.050499999999999996,0.039,,,,,,,,1,0.1299999999999999,3.6966666666666668,1,1,0,,19.676935861480654,Liquid,Flat,7187546.153846189,,,,,,,,,,,1.2205,1.2205,Strong_Base,-0.0021428571428571334
O39,OCBC Bank,0.0,19.44,0.000,57,-1,4537800.0,87948434.0,11.977,11.640,0.042199999999999994,1.455,19.21,19.44,19.45,19.2,19.42,19.44,2700,41400,0.14%,0.00%,0.0129,1.16,-0.8776,Banks,87285865394.88,62809285206.96,4490013652.0,3230930309.0,0.0259,0.0259,0.0705,0.1825,0.2145,0.23670000000000002,0.23600000000000002,,,,,,,0,0,0.25,19.363333333333333,1,0,0,,inf,Liquid,Flat,4174776.000000072,,0.7,,,,0.7,Imminent,,,,1.0717,1.0717,Strong_Base,-0.00023749999999999997
Z74,Singtel,-0.0022,4.55,-0.010,47,-1,24920100.0,112907987.0,12.297,19.037,0.027000000000000003,2.769,4.54,4.56,4.58,4.48,4.55,4.56,170500,105600,0.31%,0.00%,0.0219,1.06,0.2351,Telecommunication Services,75049213134.35,36363613272.35,16494332557.0,7992002917.0,-0.0066,-0.0381,-0.04769999999999999,0.0839,0.2297,0.5312,0.5412,,,,,,,0,1,0.09999999999999964,4.536666666666666,1,0,0,,21.422425568474203,Liquid,Flat,9968039.999999823,0.6,,,,,0.6,Recursor,0.7803,0.7803,Buildup,1.1211,1.1211,Strong_Base,0.010742857142857143
C6L,SIA,-0.0032,6.28,-0.020,40,0,4383900.0,27503399.0,8.832,7.362,0.0637,1.263,6.28,6.3,6.29,6.25,6.27,6.29,123700,26600,0.28%,0.00%,0.0064,1.12,0.6459999999999999,Transportation,19623409709.32,9740658338.60,3124746769.0,1551060245.0,0.0032,-0.0141,-0.015600000000000001,-0.0262,-0.0525,0.0458,0.032799999999999996,,,,,,,1,1,0.04999999999999982,6.273333333333333,1,0,0,,19.873320837578635,Liquid,Flat,2191950.000000049,,,,,,,,0.7608,0.7608,Buildup,,,,-0.0021428571428571334
U11,UOB,-0.0026,34.66,-0.090,36,0,2408158.0,83385067.0,9.902,9.790,0.0519,1.142,34.6,34.75,34.71,34.5,34.66,34.67,7800,15100,0.21%,0.00%,0.006,0.82,-0.3188,Banks,57541803550.78,40009143619.34,1660178983.0,1154331899.0,0.013999999999999999,0.0032,0.0242,0.0012,-0.0088,0.0113,0.0171,,,,,,,0,0,0.25,34.623333333333335,1,0,0,,21.96871742196549,Liquid,Flat,1261416.095238002,,0.7,,,,0.7,Imminent,,,,,,,-0.00023749999999999997
S63,ST Engineering,0.0,8.22,0.000,36,0,4083200.0,33392094.0,33.551,36.696,0.0207,9.437,8.15,8.22,8.26,8.07,8.22,8.23,29900,6200,0.27%,0.00%,0.0231,1.16,0.6565000000000001,Aerospace & Defense,25625451741.00,12451413559.32,3117451550.0,1514770506.0,0.0,0.0060999999999999995,-0.0464,-0.0296,0.052000000000000005,0.8306,0.8031,,,,,,,0,1,0.1899999999999995,8.183333333333332,1,0,0,,inf,Liquid,Flat,2363957.8947368744,,,,,,,,,,,,,,0.009242857142857145
U96,Sembcorp Ind,-0.0017,5.91,-0.010,32,0,2384200.0,14051891.0,10.648,10.591,0.038900000000000004,2.015,5.88,5.92,5.93,5.84,5.91,5.92,12600,1400,0.28%,0.00%,0.0152,0.43,0.8,Conglomerates,10504835336.28,5112652941.00,1777467908.0,865085100.0,0.012,-0.0166,-0.0604,-0.0311,-0.1348,0.1375,0.1149,,,,,,,0,1,0.08999999999999986,5.8933333333333335,1,0,0,,19.839378732257757,Liquid,Flat,1324555.5555555765,0.6,,,,,0.6,Recursor,,,,,,,0.01397142857142857
0558,UMS,0.0533999999999999,1.38,+0.070,28,6,4322100.0,5842315.0,23.389,24.210,0.0377,2.288,1.32,1.31,1.38,1.3,1.37,1.38,457100,506400,0.78%,0.00%,0.0611,1.78,-0.0512,Semiconductors,979622123.52,762681892.44,709871104.0,552668038.0,0.0147,0.0073,0.0,-0.021400000000000002,0.0602,0.4514,0.3951,,,,,,,,0,0.07999999999999985,1.3533333333333333,1,0,0,,16.942063761032156,Liquid,Bull,4322100.0,,,,,,,,,,,,,,0.008449999999999987
OV8,Sheng Siong,-0.0078,2.56,-0.020,27,-1,4867300.0,12394294.0,26.666,27.826,0.025,6.937,2.57,2.58,2.57,2.51,2.56,2.57,36900,18900,0.74%,0.00%,0.0233,2.32,0.3226,Retail - Defensive,3849054720.00,1676330088.96,1503537000.0,654816441.0,-0.0116,-0.030299999999999997,-0.0588,0.2075,0.3825,0.624,0.6141,,,,,,,1,1,0.07000000000000028,2.546666666666667,1,1,0,,18.705273262927843,Liquid,Flat,3244866.666666703,,,0.62,,,0.62,Failed_Breakdown,0.8803,0.8803,Buildup,,,,0.06245
