Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
SOFI,SoFi Technologies,-0.0636,22.81,-1.550,65,8,131667911.0,3082225715.0,58.487,58.487,0.0,2.762,25.43,24.36,25.47,22.31,22.77,22.78,500,1300,10.54%,-0.02%,0.1297,2.89,-0.44439999999999996,Credit Services,28981676107.18,28504288035.04,1270568878.0,1249639984.0,-0.1176,-0.1373,-0.12869999999999998,-0.2553,0.0321,0.44549999999999995,-0.12869999999999998,25.470,+4.56%,+1.110,22.780,-0.13%,-0.030,,0,3.16,23.53,0,1,0,,23.531437495286962,Liquid,Bear,-90000850.55696203,,,,,,,,,,,,,,-0.009392857142857139
MSFT,Microsoft,-0.0074,430.29,-3.210,59,-1,58566819.0,25277182073.0,26.926,31.546,0.0079,8.174,439.17,433.5,439.6,426.45,428.78,428.87,40,40,0.79%,0.04%,0.030299999999999997,1.1,0.0,Software - Infrastructure,3195173935112.04,3193893547406.73,7425629076.0,7422653437.0,-0.0765,-0.057699999999999994,-0.1103,-0.16620000000000001,-0.1729,0.0443,-0.1103,439.020,+1.27%,+5.520,428.770,-0.35%,-1.520,,0,13.150000000000034,432.1133333333333,0,0,0,,26.6139333933088,Liquid,Flat,-24362015.203802086,,,,,,,,,,,,,,-0.02427687074829931
SNDK,SanDisk,0.0684999999999999,576.25,+36.950,53,0,40932131.0,24708691203.0,,Loss,0.0,8.237,651.23,539.3,676.69,533.0,592.75,593.0,500,900,29.76%,0.61%,0.2664,2.28,-0.2857,Computer Hardware,84132500000.00,79253162478.75,146000000.0,137532603.0,0.2162,0.4081,1.4275,1.7837,11.996199999999998,15.4361,1.4275,652.480,+20.99%,+113.180,592.750,+2.86%,+16.500,,0,143.69000000000005,595.3133333333334,0,1,1,,25.324847015187203,Liquid,Bull,-16291381.250539364,,,,,,,,,,,,,,-0.04846052631578947
MU,Micron Technology,-0.048,414.88,-20.910,43,1,51022881.0,21993491413.0,39.437,54.661,0.0011,7.94,446.465,435.79,455.5,407.13,422.0,422.15,1000,700,4.69%,0.24%,0.111,1.34,0.1765,Semiconductors,466951282203.68,450974809342.88,1125509261.0,1087000601.0,0.0381,0.2325,0.4536,0.7684000000000001,2.4932,3.562,0.4536,445.030,+2.12%,+9.240,422.150,+1.75%,+7.270,,1,48.370000000000005,425.83666666666664,0,0,1,,25.452732775472455,Liquid,Down,-34672774.41534009,,,,,,,,,,,,,,-0.03695147058823528
TSLA,Tesla,0.0332,430.41,+13.850,39,-3,82626066.0,35776361951.0,398.527,398.527,0.0,19.663,425.35,416.56,439.88,422.7,429.56,429.63,120,280,2.94%,-0.01%,0.0412,1.47,-0.4,Auto Manufacturers,1615084250233.44,1210587460892.19,3752431984.0,2812637859.0,-0.0415,-0.018600000000000002,-0.0429,-0.081,0.3057,0.0638,-0.0429,424.170,+1.83%,+7.610,429.630,-0.18%,-0.780,,0,23.319999999999993,430.99666666666667,0,0,0,,26.37334593629635,Liquid,Up,-8464602.803259283,,,,,,,,,,,,,,-0.024993548387096765
NVDA,NVIDIA,-0.0072,191.13,-1.380,32,1,179489463.0,34411412119.0,47.309,65.010,0.0002,39.061,191.21,192.51,194.49,189.47,190.21,190.25,500,100,0.76%,-0.04%,0.026099999999999998,1.21,0.6667000000000001,Semiconductors,4644459000000.00,4491904504331.73,24300000000.0,23501828621.0,0.0184,0.0218,0.0248,-0.0761,0.0463,0.5922999999999999,0.0248,191.170,-0.70%,-1.340,190.200,-0.49%,-0.930,0,1,5.02000000000001,191.6966666666667,0,0,0,,26.895152551552098,Liquid,Flat,-60783284.28286901,,,,,,,,,,,,,,-0.03695147058823528
PLTR,Palantir,-0.0347,146.59,-5.270,26,-1,47271042.0,6980591762.0,340.906,771.526,0.0,53.016,150.05,151.86,151.0,145.139,147.0,147.2,500,200,2.18%,0.05%,0.038599999999999995,1.26,0.4286,Software - Infrastructure,349387932787.42,317429396123.17,2383436338.0,2165423263.0,-0.13570000000000002,-0.1721,-0.1753,-0.2925,-0.2159,0.7770999999999999,-0.1753,150.160,-1.12%,-1.700,147.167,+0.39%,+0.577,,1,6.721000000000004,147.57633333333334,0,0,0,,24.013704600212233,Liquid,Down,-23865383.59972708,,,,,,,,,,,,,,-0.02427687074829931
META,Meta Platforms,-0.0295,716.5,-21.810,22,-4,23744573.0,17076887874.0,30.502,30.502,0.0029,8.342,727.5,738.31,732.17,713.59,714.6,715.0,360,520,1.09%,-0.05%,0.0252,0.85,-0.1818,Internet Content & Information,1812426489956.00,1563659878863.50,2529555464.0,2182358519.0,0.0876,0.1542,0.0855,0.1245,-0.0672,0.0429,0.0855,729.730,-1.16%,-8.580,714.600,-0.27%,-1.900,0,0,24.719999999999914,720.7533333333334,0,0,0,,25.246403559448584,Liquid,Down,-16306821.93110877,,0.7,,,,0.7,Imminent,,,,,,,-0.017023188405797095
AAPL,Apple,0.0046,259.48,+1.200,21,-1,92443408.0,23819223533.0,32.845,34.782,0.004,43.246,255.165,258.28,261.9,252.18,258.9,259.05,400,100,0.63%,-0.27%,0.037599999999999995,1.79,0.6,Consumer Electronics,3813817838480.00,3807133627971.44,14697926000.0,14672165978.0,0.0461,0.0049,-0.0455,-0.0346,0.1338,0.1045,-0.0455,254.590,-1.43%,-3.690,259.066,-0.16%,-0.414,,1,9.71999999999997,257.8533333333333,1,0,0,,26.32380552326727,Liquid,Flat,46411916.77366319,,,,,0.9,0.9,Momentum,,,,,,,-0.024264705882352924
AMD,Advanced Micro Devices,-0.0613,236.73,-15.450,18,12,40035670.0,9597038328.0,117.193,236.730,0.0,6.34,236.93,252.18,245.24,234.55,236.75,236.76,9200,600,2.50%,-0.04%,0.0424,1.21,0.8776,Semiconductors,385406273764.20,379574133591.51,1628041540.0,1603405287.0,-0.08839999999999999,0.0387,0.1054,-0.0883,0.3703,1.0417,0.1054,236.000,-6.42%,-16.180,236.760,+0.01%,+0.030,-1,1,17.629999999999995,238.84,0,0,0,,25.551346602830023,Liquid,Bear,-23706809.270346276,,,,,,,,,,,,,,-0.03695147058823528
