Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
01810,XIAOMI-W,-0.0200999999999999,53.55,-1.100,100,0,332142837.0,17883152586.0,34.151,54.531,0.0,5.034,55.5,54.65,55.95,52.7,53.55,53.6,52400,653600,1.28%,0.19%,0.059500000000000004,1.57,0.0393,Consumer Telecommunication Equipment,1393687145919.60,1393687145919.60,26025903752.0,26025903752.0,-0.0455,-0.0472,-0.0083,-0.0654,0.46909999999999996,1.5259,0.5522,,,,,,,,1,3.25,54.06666666666666,0,0,1,,25.230875116227434,Liquid,Down,-158406583.80000117,,,,,,,,,,,,,,-0.006874999999999988
09988,BABA-W,0.0414,173.4,+6.900,55,0,134259119.0,23097912213.0,20.335,23.572,0.0113,2.975,166.9,166.5,174.3,166.9,173.3,173.4,28800,381100,0.70%,0.00%,0.0444,0.83,-0.2749,Online Retailers,3307194299325.60,3307194299325.60,19072631484.0,19072631484.0,0.0892,0.1216,0.2648,0.6452,0.7454000000000001,0.9256,1.1554,,,,,,,,0,7.800000000000011,171.53333333333333,1,0,0,,25.348509162646554,Liquid,Up,101601495.45945928,,,,,,,,,,,,,,0.017428571428571408
09992,POP MART,-0.0158,261.8,-4.200,33,0,13745485.0,3572928282.0,47.299,104.178,0.0034000000000000002,22.604,261.0,266.0,264.8,254.0,261.6,261.8,31200,16600,1.02%,-0.30%,0.0406,1.13,0.47340000000000004,Toys & Leisure,351582516670.00,351582516670.00,1342943150.0,1342943150.0,-0.0217,0.0108,-0.15109999999999998,0.0108,1.0776000000000001,4.6408,1.9494999999999998,,,,,,,1,1,12.0,260.2,1,0,0,,24.024288687952797,Liquid,Flat,6109104.444444452,,,,,,,,,,,,,,0.026544444444444443
01211,BYD COMPANY-100,0.0197,108.6,+2.100,22,0,19149409.0,2072179971.0,21.428,22.776,0.013300000000000001,4.29,106.5,106.5,109.2,105.8,108.6,108.7,119800,83800,0.52%,-0.18%,0.0319,0.59,0.1654,Automobiles,990127655559.00,400017240000.00,9117197565.0,3683400000.0,-0.01,0.0046,0.0018,-0.10619999999999999,0.048,0.33270000000000005,0.24230000000000002,,,,,,,,1,3.4000000000000057,107.86666666666667,1,0,0,,23.373815081577035,Liquid,Flat,12390794.058823446,,,,,,,,,,,,,,0.0039499999999999995
02259,ZIJIN GOLD INTL,0.517,108.6,+37.010,21,5,8571800.0,916286950.0,46.529,76.103,0.0,10.113,88.0,71.59,109.9,88.0,108.5,108.6,1100,1400,0.33%,-0.19%,0.3059,0.0,-0.3093,Unclassified,284965390020.00,284965390020.00,2623990700.0,2623990700.0,,,,,,,,,,,,,,,0,38.31,102.16666666666667,1,0,0,,21.246026018052692,Liquid,Spike,7554143.378995425,,,,,,,,,,,,,,
03690,MEITUAN-W,0.0219,102.8,+2.200,19,-1,58610731.0,6018687826.0,19.414,16.247,0.0,3.107,101.0,100.6,103.8,101.0,102.8,102.9,93300,134100,0.96%,-0.29%,0.0278,1.06,0.08529999999999999,Online Retailers,628220443668.00,628220443668.00,6111093810.0,6111093810.0,-0.0106,0.055999999999999994,-0.0019,-0.1361,-0.2345,-0.2647,-0.3223,,,,,,,0,1,3.200000000000003,102.53333333333335,1,0,0,,24.231172050878705,Liquid,Up,16745923.142857099,,,,,,,,,,,,,,0.017428571428571408
00981,SMIC,0.0487,76.5,+3.550,18,2,106533474.0,7973807065.0,135.159,160.041,0.0,3.702,74.0,72.95,76.5,73.1,76.45,76.5,42000,134000,1.78%,0.00%,0.0466,0.78,-0.4476,Semiconductors,611942623087.50,458976088089.00,7999249975.0,5999687426.0,0.0429,0.2143,0.20190000000000002,0.7269,1.0292000000000001,3.5,1.4057,,,,,,,,0,3.549999999999997,75.36666666666666,1,0,0,,24.30053587503191,Liquid,Up,106533474.0,,,,,,,,,,,,,,0.04734166666666665
00700,TENCENT,0.0248,660.0,+16.000,17,0,20489556.0,13492727746.0,26.514,28.856,0.0068000000000000005,4.947,649.5,644.0,664.5,647.5,660.0,660.5,111500,10000,0.22%,-0.23%,0.0264,1.23,0.4264,Digital Solution Services,6047600550420.00,6047600550420.00,9163031137.0,9163031137.0,0.0296,0.0256,0.0909,0.3147,0.5317000000000001,0.6595,0.6,,,,,,,0,1,20.5,657.3333333333334,1,0,0,,24.98553933056583,Liquid,Up,9642144.0,0.6,,,,,0.6,Recursor,,,,,,,0.025651515151515147
09660,HORIZONROBOT-W,-0.0113,9.59,-0.110,17,-2,261866790.0,2534637344.0,54.8,52.404,0.0,10.631,9.81,9.7,9.93,9.53,9.59,9.6,66600,500400,1.89%,0.10%,0.0412,0.69,0.24239999999999998,Digital Solution Services,133121606410.38,133121606410.38,13881293682.0,13881293682.0,-0.06709999999999999,-0.057,0.0159,0.5031,1.0758,1.4035,1.6639,,,,,,,,1,0.40000000000000036,9.683333333333334,0,0,0,,23.73502931476801,Liquid,Flat,-183306752.9999994,,,,,,,,,,,,,,0.025651515151515147
03750,CATL,0.0311,547.0,+16.500,16,-4,3249995.0,1792964643.0,38.174,44.406,0.002,7.715,549.0,530.5,561.5,540.0,546.5,547.0,9000,600,2.08%,-0.27%,0.0405,1.2,0.1165,Energy Storage Systems,2495223875381.00,85285669100.00,4561652423.0,155915300.0,0.0705,0.17629999999999998,0.2993,0.55,1.0886,1.0886,1.0886,,,,,,,,1,31.0,549.5,0,0,0,,23.052965056819332,Liquid,Up,-1133719.1860465116,,,,,,,,,,,,,,0.044027272727272734
