Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
002594,BYD Company Limited,0.0055,109.21,+0.60,100,0,567756.0,6200518749.86,23.633,24.736,0.0121,4.731,108.19,108.61,109.98,107.76,109.2,109.21,2269,542,1.63%,0.01%,0.0204,0.87,0.0668,Passenger Cars,995689146073.65,380841679489.83,9117197565.0,3487241823.0,0.0342,0.0131,-0.0074,0.0146,0.0218,0.2995,0.17559999999999998,,,,,,,0,1,2.219999999999999,108.98333333333333,1,0,0,,25.88079725189601,Liquid,173907.2432432378,0.7,,,,,0.7,Recursor,,,,,,,0.018766666666666633
601899,Zijin Mining Group,0.0312,29.44,+0.89,54,1,3858883.0,11322434110.0,19.432,24.411,0.017,5.812,29.57,28.55,29.88,28.74,29.43,29.44,1511,2305,1.87%,0.00%,0.039900000000000005,1.27,-0.019799999999999998,Industrial Metals,782443776793.60,606108904729.60,26577573940.0,20587938340.0,0.15,0.1729,0.217,0.502,0.9092,0.9142,1.0137,,,,,,,1,0,1.3299999999999983,29.353333333333335,1,0,0,,25.082885972077168,Liquid,880096.1228070344,,,,,,,,,,,,,,0.03391379310344827
300750,Contemporary Amperex Technology,0.0116999999999999,402.0,+4.63,50,-1,330313.0,13278445666.93,31.418,36.138,0.0138,6.307,396.0,397.37,408.88,396.0,401.99,402.0,48,77,0.78%,-0.30%,0.032400000000000005,0.85,-0.5932999999999999,Batteries,1833784274046.00,1710279261246.00,4561652423.0,4254426023.0,0.0919,0.1375,0.3273,0.5325,0.9529000000000001,1.2479,0.5507,,,,,,,,0,12.879999999999995,402.29333333333335,0,0,0,,26.784123816656813,Liquid,-22567.96894409927,,,,,,,,,,,,,,0.03464285714285714
688256,Cambricon,0.0011,1325.0,+1.50,46,2,8653981.0,11699849210.0,496.812,Loss,0.0,82.053,1388.0,1323.5,1399.0,1318.23,1325.0,1325.3,24929,223,2.07%,-0.07%,0.061,0.89,0.8963,Semiconductors,554314046800.00,554314046800.00,418350224.0,418350224.0,-0.018799999999999997,-0.0799,-0.1047,1.4412,1.1521,5.3437,1.0137,,,,,,,,1,80.76999999999998,1347.41,0,0,1,,26.72708783915084,Liquid,-7203257.925343572,,,,,,,,,,,,,,0.02687272727272727
300274,Sungrow Power Supply,-0.0183,161.98,-3.02,42,0,928505.0,15196985261.12,24.314,30.430,0.0067,7.894,165.0,165.0,167.69,157.21,161.98,161.99,1468,144,5.84%,0.00%,0.0635,0.88,0.22769999999999999,Photovoltaic Equipment,335818786459.52,257501136549.02,2073211424.0,1589709449.0,0.1285,0.15439999999999998,0.6255,1.1957,1.9402000000000001,1.0839,1.2262,,,,,,,,1,10.47999999999999,162.29333333333332,0,0,1,,26.310453280417867,Liquid,-83281.93702290316,,,,,,,,,,,,,,0.024569230769230767
601138,Foxconn Industrial Internet,-0.0086,66.01,-0.57,29,1,1653417.0,11090699578.0,49.297,56.467,0.0097,8.643,66.8,66.58,69.48,65.52,66.01,66.02,721,2383,0.83%,-0.02%,0.059500000000000004,0.83,0.2897,Consumer Electronics,1310838597846.61,1310838597846.61,19858182061.0,19858182061.0,-0.06860000000000001,0.1051,0.22510000000000002,1.5644999999999998,3.2070999999999996,2.6229,2.1644,,,,,,,-1,1,3.960000000000008,67.00333333333333,0,0,1,,25.97699655069127,Liquid,-1244238.0454545387,,,,,,,,,,,,,,0.003337500000000004
600519,Kweichow Moutai,-0.0115,1443.99,-16.87,28,-3,39364.0,5687474876.0,20.106,20.970,0.035699999999999996,7.772,1460.0,1460.86,1460.76,1440.0,1443.99,1444.0,4,26,0.31%,0.04%,0.014199999999999999,0.97,-0.2953,Liquor,1808265667757.85,1808265667757.85,1252270215.0,1252270215.0,-0.0024,-0.0373,-0.0317,0.0197,-0.045899999999999996,0.191,-0.035,,,,,,,0,0,20.8599999999999,1448.25,0,0,0,,26.606896683234332,Liquid,-24232.751445086662,,0.55,,,,0.55,Imminent,,,,,,,-0.013550000000000001
002475,Luxshare Precision Industry,-0.0017,64.69,-0.11,28,10,2295291.0,14884453178.74,32.104,35.100,0.0031,6.322,65.4,64.8,66.38,63.76,64.69,64.7,214,701,3.17%,0.08%,0.0404,0.59,0.7998999999999999,Consumer Electronics,469132923255.63,468282610078.93,7252016127.0,7238871697.0,-0.0154,0.2348,0.4769,0.8399,1.2714,0.7772,0.5949,,,,,,,,1,2.6199999999999974,64.94333333333333,0,0,0,,26.926485240403544,Liquid,-665809.603053434,,,,,,,,,,,,,,0.003337500000000004
600028,China Petroleum & Chemical Corporation,-0.0038,5.29,-0.02,24,14,829182.0,438728075.0,17.751,12.746,0.0431,0.784,5.3,5.31,5.31,5.28,5.28,5.29,77905,2550,0.09%,0.00%,0.005699999999999999,0.7,0.3259,Refining & Trading,641029576462.42,501713253461.79,121177613698.0,94841824851.0,-0.0131,-0.0347,-0.0755,-0.054000000000000006,-0.0207,-0.1401,-0.1801,,,,,,,0,1,0.02999999999999936,5.293333333333333,0,0,0,,22.43108930111248,Norm,-276394.0,,0.75,,,,0.75,Imminent,,,,,,,-0.0081
600760,AVIC Shenyang Aircraft,0.1,71.83,+6.53,20,-1,639593.0,4465870026.0,69.941,60.008,0.005600000000000001,9.441,65.29,65.3,71.83,65.09,71.83,0.0,19201,0,2.33%,0.00%,0.1032,2.31,1.0,Aviation Equipment,203644853306.62,197402199733.53,2835094714.0,2748185991.0,0.12689999999999999,0.2408,0.1411,0.19760000000000003,0.6321,0.8804000000000001,0.4275,,,,,,,,1,6.739999999999995,69.58333333333333,1,1,1,,,,639593.0,,,,,,,,,,,,,,0.031665000000000006
