Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
002837,Shenzhen Envicool Technology,-0.1,108.97,-12.11,83,1,59793.0,651564321,220.59,204.06,0.0014000000000000002,30.74,108.97,121.08,108.97,108.97,0.0,108.97,0,545419,0.71%,0.00%,0.0,0.1,-1.0,Special Equipment,106511700112,92172781428,977440581.0,845854652.0,-0.0075,0.2844,0.1119,0.0617,0.4979,3.4943,0.0195,,,,,,,,,12.11,108.96999999999998,0,0,,,,,Plunge,,,,,,,,,,,,,,,-0.00014782608695650836
300476,Victory Giant Technology,-0.0353,330.9,-12.10,80,-1,499389.0,16501936498,66.96,66.96,0.006,19.37,330.0,343.0,338.88,325.01,330.9,330.91,1260,1,5.83%,0.00%,0.0404,0.94,0.731,Electronic Parts,288729214872,283574540706,872557313.0,856979573.0,0.07429999999999999,0.2587,0.2755,0.1852,0.1963,4.3450999999999995,0.15869999999999998,,,,,,,,1,17.99000000000001,331.59666666666664,0,0,0,,26.407275339984338,Liquid,Down,-75250.39726027509,,,,,,,,,,,,,,0.02619411764705882
300750,Contemporary Amperex Technology,0.0349,447.6,+15.10,43,0,577746.0,25412275749,25.87,28.30,0.0070999999999999995,5.72,435.0,432.5,450.13,425.1,447.6,447.66,122,1,1.36%,-0.20%,0.0579,1.23,0.6692,Batteries,2042882265293,1905366059105,4564080128.0,4256849998.0,0.039,0.1638,0.11349999999999999,0.2704,0.2005,1.1743999999999999,0.2188,,,,,,,,1,25.029999999999973,440.9433333333333,1,0,1,,26.139835110430276,Liquid,Up,460950.3643627658,,,,,,,,,,,,,,0.026096428571428566
002594,BYD Company Limited,-0.0134,101.53,-1.38,29,1,432258.0,4398233495,28.38,28.38,0.0131,4.07,102.91,102.91,103.19,101.33,101.52,101.53,282,4756,1.24%,0.00%,0.0181,0.89,-0.34380000000000005,Passenger Cars,925669068774,353995868655,9117197565.0,3486613500.0,-0.022099999999999998,0.0362,-0.0567,0.0591,-0.0217,-0.05,0.039,,,,,,,0,0,1.8599999999999994,102.01666666666665,0,0,0,,25.165686664122536,Liquid,Flat,-339299.29032257927,,0.7,,,,0.7,Imminent,,,,,,,-0.006333333333333333
300394,Suzhou TFC Optical Communication,-0.0574,353.0,-21.50,24,1,551996.0,19630021899,126.34,136.03,0.0024,45.89,345.03,374.5,370.89,345.0,353.0,353.01,307,2,7.12%,0.36%,0.0691,1.25,0.9593,Telecommunication Equipment,274427809523,273875892258,777415891.0,775852386.0,0.0207,0.11230000000000001,0.1826,0.7828,0.977,7.0319,0.7387,,,,,,,-1,1,29.5,356.2966666666666,0,0,1,,26.374629635695328,Liquid,Bear,-210862.8984163768,,,,,,,,,,,,,,-0.0064827586206896584
600118,China Spacesat,0.0601,100.2,+5.68,22,3,1192320.0,11788759931,3340.0,3340.00,0.0001,18.61,98.0,94.52,100.6,96.5,100.2,100.21,516,226,10.08%,0.01%,0.0434,2.12,0.5895,Aerospace Equipment,118485411327,118485411327,1182489135.0,1182489135.0,0.1873,0.3289,0.2887,-0.0167,1.7316999999999998,2.8898,0.0553,,,,,,,,1,6.079999999999998,99.10000000000001,1,1,0,,25.36497934621481,Liquid,Bull,959672.1951219559,,,,,,,,,,,,,,0.015974999999999975
002475,Luxshare Precision Industry,0.0003,65.75,+0.02,22,-3,2625733.0,16943576025,28.86,28.86,0.0055000000000000005,5.68,64.86,65.73,66.0,62.9,65.75,65.76,1038,24,3.61%,0.02%,0.0472,1.12,0.8096,Consumer Electronics,479053504808,477954703695,7285984864.0,7269273060.0,0.1118,0.3588,0.4201,0.1352,0.0967,1.3216999999999999,0.16269999999999998,,,,,,,1,1,3.1000000000000014,64.88333333333334,1,0,0,,27.792639545085475,Liquid,Flat,2202227.677419355,,,,,,,,,,,,,,-0.012365384615384608
600519,Kweichow Moutai,0.0008,1412.01,+1.12,22,0,21754.0,3074595192,21.48,21.48,0.0366,7.23,1411.0,1410.89,1419.9,1410.0,1412.01,1412.02,65,14,0.17%,-0.11%,0.006999999999999999,0.5,0.6029,Liquor,1768218066282,1768218066282,1252270215.0,1252270215.0,-0.0241,-0.0195,0.0028000000000000004,0.0217,-0.0158,-0.052000000000000005,0.0253,,,,,,,0,1,9.900000000000091,1413.97,0,0,0,,27.22568879249951,Liquid,Flat,-12920.557575757697,,,,,,,,,,,,,,0.0032499999999999994
688820,SJ Semiconductor Corporation,2.8948,76.65,+56.97,21,3,129928415.0,10371848465,155.16,155.16,0.0,7.43,99.72,19.68,100.99,75.0,76.65,76.66,3641,4350,75.15%,0.14%,1.3206,0.0,0.2917,Semiconductors,142781634535,13252987586,1862774097.0,172902643.0,2.8948,2.8948,2.8948,2.8948,2.8948,2.8948,2.8948,,,,,,,,1,81.31,84.21333333333334,0,0,0,,23.454603359839897,Liquid,Spike,-113431155.68872637,,,,,,,,,,,,,,0.037676785714285725
300308,Zhongji Innolight,0.0175,864.86,+14.86,21,4,251138.0,21433791331,64.28,89.00,0.001,27.0,849.75,850.0,868.0,839.0,864.86,864.9,1,50,2.27%,-0.13%,0.0341,0.8,-0.8504999999999999,Telecommunication Equipment,960961802343,956101936059,1111118334.0,1105499082.0,0.1188,0.396,0.44229999999999997,0.4017,0.9466,11.1657,0.4178,,,,,,,,0,29.0,857.2866666666667,1,0,0,,26.7544839329349,Liquid,Flat,196753.63310344852,,,,,,,,,,,,,,-0.0064827586206896584
