Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,MA,Slope,Volatility,TrendStrength,Shock,Trend
20250618,3920.219970703125,3923.449951171875,3908.47998046875,3920.81005859375,206475300,0.0,0.0,-0.25008228311466096,3909.0550048828127,0.044909091328171336,0.3057359857328519,0.1468884705231013,-0.8179680992252564,Sideways
20250619,3913.85009765625,3917.6201171875,3892.090087890625,3894.179931640625,216375100,0.0,0.0,-0.6791996183226567,3909.7594970703126,-0.7143954892681603,0.3460530483791695,-2.0644103342369604,-1.9627037574264028,Bearish
20250620,3893.97998046875,3903.719970703125,3883.429931640625,3883.429931640625,457687100,0.0,0.0,-0.27605298647489507,3909.8099975585938,-0.7155966578233697,0.3520481034808862,-2.0326672711708604,-0.7841342809275575,Bearish
20250623,3859.830078125,3883.97998046875,3845.780029296875,3879.260009765625,313110400,0.0,0.0,-0.10737729142542562,3909.9929931640627,-0.7470960803925175,0.3505636129392272,-2.131128425248265,-0.3062990209541236,Bearish
20250624,3891.1298828125,3910.830078125,3890.8701171875,3904.300048828125,270748700,0.0,0.0,0.6454849378351613,3910.4034912109373,-0.6701159218308272,0.36057094595225375,-1.8584856305076864,1.7901745691973623,Bearish
20250625,3908.050048828125,3932.25,3907.7900390625,3925.97998046875,323981200,0.0,0.0,0.5552834405524898,3911.106494140625,0.131858513871852,0.37056473592794575,0.3558312518369021,1.4984789072332603,Sideways
20250626,3923.639892578125,3939.8701171875,3919.47998046875,3938.4599609375,287934300,0.0,0.0,0.31788191816657374,3912.1874877929686,1.1370822631254107,0.3759400418459022,3.0246372733860065,0.8455654699769213,Bullish
20250627,3953.639892578125,3966.199951171875,3950.969970703125,3966.199951171875,278049400,0.0,0.0,0.7043359716616626,3915.766979980469,2.1313637940747476,0.3774325860523207,5.647005247658432,1.866123905804004,Bullish
20250630,3970.090087890625,3971.699951171875,3958.0400390625,3964.2900390625,280934400,0.0,0.0,-0.04815471062700194,3919.4519775390627,2.191913640303067,0.37613376320208863,5.827484407788722,-0.1280254934230125,Bullish
20250701,3972.179931640625,4001.0,3968.570068359375,3989.760009765625,252925200,0.0,0.0,0.6424850465569953,3924.220983886719,2.188867655372717,0.3955961522406568,5.533086312834363,1.6240932651087725,Bullish
20250702,3991.739990234375,4011.780029296875,3991.739990234375,4010.77001953125,348787900,0.0,0.0,0.5265983345915437,3929.5654907226562,2.1597165417123865,0.4051236975768026,5.331005208114125,1.2998457946087247,Bullish
